sensor,collection,item_id,datetime,cloud_cover,asset,path,status
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,B02,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\B02.tif,downloaded
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,B03,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\B03.tif,downloaded
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,B04,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\B04.tif,downloaded
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,B08,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\B08.tif,downloaded
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,B11,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\B11.tif,downloaded
sentinel-2,sentinel-2-l2a,S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214,2025-07-22 09:15:41.024000+00:00,0.0,SCL,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250722_S2A_MSIL2A_20250722T091541_R007_T33MXT_20250722T115214\SCL.tif,downloaded
sentinel-2,sentinel-2-l2a,S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050,2025-08-04 08:55:59.024000+00:00,0.005464,B02,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250804_S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050\B02.tif,downloaded
sentinel-2,sentinel-2-l2a,S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050,2025-08-04 08:55:59.024000+00:00,0.005464,B03,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250804_S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050\B03.tif,downloaded
sentinel-2,sentinel-2-l2a,S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050,2025-08-04 08:55:59.024000+00:00,0.005464,B04,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250804_S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050\B04.tif,downloaded
sentinel-2,sentinel-2-l2a,S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050,2025-08-04 08:55:59.024000+00:00,0.005464,B08,C:\Users\eoughton\Desktop\Github\IGARSS26\outputs\bolobo_pilot\imagery_boundary_waterbody\sentinel-2\20250804_S2B_MSIL2A_20250804T085559_R007_T33MXT_20250804T114050\B08.tif,downloaded
